/match/oce/568165516,Bel'Veth,Irelia,Vi,Lee Sin,Brand,Ryze,Xayah,Jinx,Lux,Janna,2.0,2.33,1.2,4.5,1.33,3.5,3.0,1.33,11.0,0.67,847.0,0.0,0.0,0.0,1.0,1,1,blue
/match/oce/568157671,Twitch,Bel'Veth,Nidalee,Jinx,Akali,Vladimir,Zeri,Aphelios,Irelia,Milio,1.67,1.67,2.5,1.8,4.5,1.5,3.0,1.0,1.0,1.0,4357.0,0.0,1.0,1.0,0.0,2,0,blue
/match/oce/568156412,Gragas,Renekton,Kha'Zix,Lee Sin,Jayce,Aurelion Sol,Jinx,Ezreal,Karma,Senna,0.0,1.0,7.0,2.0,1.0,4.0,9.0,0.0,10.0,0.2,4054.0,0.0,1.0,1.0,0.0,2,0,blue
/match/oce/568155165,Jax,Malphite,Jarvan IV,Lee Sin,Ahri,LeBlanc,Xayah,Aphelios,Blitzcrank,Senna,1.0,0.0,2.5,1.5,5.0,0.33,5.0,1.0,2.5,0.4,7030.0,0.0,2.0,1.0,0.0,2,0,blue
/match/oce/568149674,Gwen,Malphite,Pantheon,Shaco,Ahri,Lissandra,Jinx,Zeri,Nautilus,Milio,4.0,1.0,7.0,1.0,1.67,1.5,6.0,2.0,7.0,0.25,4806.0,0.0,1.0,1.0,0.0,2,0,blue
/match/oce/568165497,Shen,Alistar,Lillia,Rek'Sai,Akali,Viktor,Tristana,Xayah,Rell,Kennen,2.0,1.0,3.0,2.5,3.0,0.5,3.33,3.0,4.0,0.67,975.0,1.0,0.0,0.0,1.0,2,0,blue
/match/oce/568159990,Illaoi,Pantheon,Hecarim,Dr. Mundo,Katarina,Vladimir,Lucian,Ezreal,Thresh,Soraka,2.0,1.0,6.0,0.71,10.0,1.0,4.5,0.75,4.0,1.0,5534.0,1.0,1.0,1.0,1.0,2,0,red
/match/oce/568160658,Malphite,Jayce,Sejuani,Zac,Sylas,Yasuo,Jinx,Aphelios,Blitzcrank,Thresh,9.0,0.17,9.0,1.0,7.0,2.5,1.25,1.33,3.0,7.0,2508.0,1.0,0.0,0.0,1.0,2,0,blue
/match/oce/568157218,Nasus,Gwen,Graves,Viego,Rumble,LeBlanc,Jinx,Twitch,Lulu,Nautilus,1.0,2.0,1.0,3.5,2.0,6.0,2.0,4.0,1.5,5.0,-810.0,0.0,0.0,1.0,0.0,1,1,blue
/match/oce/568151241,Illaoi,Gwen,Taliyah,Hecarim,Xerath,Vladimir,Vayne,Jinx,Thresh,Braum,3.0,0.5,5.0,0.5,3.0,1.0,2.0,0.33,8.0,0.75,4394.0,0.0,1.0,1.0,1.0,1,0,blue
/match/oce/568149907,Sion,Gnar,Hecarim,Karthus,LeBlanc,K'Sante,Kog'Maw,Samira,Lulu,Leona,0.0,4.0,6.0,1.5,3.0,0.0,1.0,0.0,1.0,0.0,726.0,1.0,0.0,2.0,0.0,1,1,blue
